date,home_team,away_team,home_score,away_score,tournament,neutral
2018-09-01,Poland,Ghana,3,1,Friendly,False
2018-09-02,South Korea,Poland,1,3,Friendly,False
2018-09-03,Mexico,Germany,0,3,Friendly,True
2018-09-05,Senegal,Canada,0,0,Friendly,False
2018-09-06,Italy,Colombia,2,1,Friendly,False
2018-09-07,Serbia,Mexico,1,2,Friendly,False
2018-09-08,USA,Morocco,3,1,Friendly,False
2018-09-10,Netherlands,Poland,2,0,Friendly,False
2018-09-11,Brazil,Croatia,1,3,Friendly,False
2018-09-12,Morocco,Argentina,4,0,Friendly,False
2018-09-13,Australia,Argentina,1,2,Friendly,False
2018-09-14,Australia,Japan,4,1,Friendly,False
2018-09-16,Serbia,Denmark,1,0,Friendly,False
2018-09-17,Netherlands,New Zealand,4,0,Friendly,True
2018-09-18,Germany,Serbia,2,0,Friendly,False
2018-09-19,Qatar,Belgium,0,2,Friendly,False
2018-09-21,Poland,Panama,2,2,Friendly,False
2018-09-22,Germany,Canada,1,1,Friendly,False
2018-09-23,Croatia,Brazil,1,4,Friendly,True
2018-09-24,South Korea,Portugal,0,2,Friendly,False
2018-09-25,Japan,Colombia,1,3,Friendly,True
2018-09-27,Denmark,Germany,0,2,Friendly,False
2018-09-28,Colombia,Saudi Arabia,0,2,Friendly,True
2018-09-29,Colombia,Panama,2,1,Friendly,False
2018-09-30,England,Denmark,5,3,Friendly,True
2018-10-02,Morocco,Canada,2,1,Friendly,True
2018-10-03,New Zealand,Panama,2,5,Friendly,False
2018-10-04,Netherlands,Croatia,1,2,Friendly,False
2018-10-05,Mexico,Serbia,3,3,Friendly,False
2018-10-07,Japan,Croatia,2,2,Friendly,False
2018-10-08,Colombia,Ghana,2,2,Friendly,True
2018-10-09,New Zealand,Switzerland,0,1,Friendly,False
2018-10-10,Qatar,Uruguay,2,2,Friendly,False
2018-10-11,Australia,Argentina,0,1,Friendly,False
2018-10-13,Panama,Belgium,1,1,Friendly,False
2018-10-14,Portugal,Saudi Arabia,1,0,Friendly,True
2018-10-15,Mexico,Ghana,4,1,Friendly,False
2018-10-16,Portugal,Switzerland,2,0,Friendly,True
2018-10-18,Poland,Ghana,1,1,Friendly,False
2018-10-19,Poland,Uruguay,1,1,Friendly,False
2018-10-20,Switzerland,Uruguay,1,3,Friendly,False
2018-10-21,Poland,Denmark,0,1,Friendly,False
2018-10-23,Serbia,Canada,2,3,Friendly,False
2018-10-24,Netherlands,Qatar,1,1,Friendly,False
2018-10-25,New Zealand,USA,2,1,Friendly,False
2018-10-26,Senegal,USA,2,1,Friendly,False
2018-10-27,England,Qatar,4,1,Friendly,False
2018-10-29,Portugal,Panama,2,0,Friendly,False
2018-10-30,Ecuador,Belgium,5,2,Friendly,False
2018-10-31,Qatar,Senegal,3,1,Friendly,False
2018-11-01,Switzerland,Spain,2,1,Friendly,False
2018-11-03,Morocco,USA,1,2,Friendly,False
2018-11-04,Uruguay,Qatar,1,0,Friendly,False
2018-11-05,Portugal,New Zealand,2,0,Friendly,True
2018-11-06,Japan,South Korea,1,0,Friendly,False
2018-11-08,Spain,Denmark,1,2,Friendly,False
2018-11-09,New Zealand,Qatar,1,0,Friendly,False
2018-11-10,Canada,USA,1,2,Friendly,False
2018-11-11,Denmark,Poland,0,1,Friendly,False
2018-11-12,Australia,Serbia,0,1,Friendly,True
2018-11-14,Portugal,Spain,1,0,Friendly,False
2018-11-15,Serbia,Italy,0,5,Friendly,False
2018-11-16,Saudi Arabia,Spain,1,2,Friendly,False
2018-11-17,Denmark,Australia,2,2,Friendly,False
2018-11-19,Portugal,Qatar,4,1,Friendly,False
2018-11-20,Germany,Senegal,3,0,Friendly,False
2018-11-21,South Korea,Ecuador,2,2,Friendly,True
2018-11-22,Uruguay,Panama,2,1,Friendly,False
2018-11-23,Brazil,Belgium,0,1,Friendly,False
2018-11-25,Germany,Brazil,1,0,Friendly,False
2018-11-26,Denmark,Ecuador,0,0,Friendly,False
2018-11-27,Japan,Croatia,2,2,Friendly,False
2018-11-28,Denmark,Mexico,0,2,Friendly,False
2018-11-30,Uruguay,Panama,5,0,Friendly,False
2018-12-01,New Zealand,Switzerland,1,2,Friendly,False
2018-12-02,Argentina,Brazil,1,0,Friendly,False
2018-12-03,Australia,Qatar,0,2,Friendly,False
2018-12-05,Belgium,Panama,3,1,Friendly,False
2018-12-06,Uruguay,Mexico,1,1,Friendly,True
2018-12-07,Qatar,Australia,1,1,Friendly,True
2018-12-08,Australia,Italy,2,2,Friendly,False
2018-12-09,Senegal,Japan,0,1,Friendly,True
2018-12-11,Italy,Serbia,4,1,Friendly,False
2018-12-12,Serbia,New Zealand,0,1,Friendly,False
2018-12-13,Belgium,France,0,0,Friendly,True
2018-12-14,Croatia,England,1,1,Friendly,True
2018-12-16,Uruguay,Spain,4,2,Friendly,True
2018-12-17,Argentina,Canada,5,2,Friendly,False
2018-12-18,South Korea,Belgium,3,1,Friendly,False
2018-12-19,Saudi Arabia,France,0,3,Friendly,False
2018-12-21,Ghana,Costa Rica,2,1,Friendly,False
2018-12-22,Poland,Morocco,2,4,Friendly,False
2018-12-23,Costa Rica,Mexico,1,1,Friendly,False
2018-12-24,Portugal,Croatia,0,2,Friendly,False
2018-12-25,Mexico,USA,0,2,Friendly,False
2018-12-27,Panama,Belgium,1,1,Friendly,False
2018-12-28,Australia,Panama,2,0,Friendly,False
2018-12-29,Japan,Senegal,1,1,Friendly,False
2018-12-30,Italy,Germany,1,0,Friendly,False
2019-01-01,Saudi Arabia,England,1,3,Friendly,False
2019-01-02,Ghana,Uruguay,1,1,Friendly,False
2019-01-03,Ecuador,Croatia,0,1,Friendly,True
2019-01-04,Netherlands,Croatia,3,2,Friendly,False
2019-01-06,Australia,Mexico,2,1,Friendly,False
2019-01-07,Poland,Ecuador,4,1,Friendly,False
2019-01-08,USA,England,2,1,Friendly,True
2019-01-09,Australia,Ecuador,2,2,Friendly,True
2019-01-10,Germany,Senegal,1,1,Friendly,False
2019-01-12,Saudi Arabia,Argentina,1,2,Friendly,False
2019-01-13,Australia,Serbia,3,1,Friendly,False
2019-01-14,Croatia,Canada,3,0,Friendly,True
2019-01-15,Argentina,Belgium,2,0,Friendly,True
2019-01-17,Senegal,Brazil,2,3,Friendly,False
2019-01-18,USA,Switzerland,0,0,Friendly,True
2019-01-19,Mexico,Canada,0,2,Friendly,False
2019-01-20,Italy,Belgium,1,1,Friendly,True
2019-01-21,Belgium,Serbia,3,2,Friendly,False
2019-01-23,USA,New Zealand,2,1,Friendly,False
2019-01-24,Ecuador,Italy,0,2,Friendly,False
2019-01-25,Netherlands,Japan,1,0,Friendly,False
2019-01-26,France,England,0,1,Friendly,False
2019-01-28,Canada,Saudi Arabia,1,2,Friendly,False
2019-01-29,Colombia,Germany,5,1,Friendly,False
2019-01-30,Saudi Arabia,England,2,2,Friendly,False
2019-01-31,Colombia,Netherlands,1,0,Friendly,True
2019-02-02,Mexico,Poland,2,3,Friendly,True
2019-02-03,Saudi Arabia,Australia,3,3,Friendly,False
2019-02-04,Argentina,Senegal,2,1,Friendly,False
2019-02-05,Senegal,Canada,3,1,Friendly,False
2019-02-06,England,South Korea,2,1,Friendly,False
2019-02-08,Argentina,Canada,4,1,Friendly,False
2019-02-09,Uruguay,Serbia,1,2,Friendly,True
2019-02-10,England,New Zealand,3,2,Friendly,False
2019-02-11,Germany,Uruguay,3,2,Friendly,False
2019-02-13,Denmark,Ecuador,1,3,Friendly,False
2019-02-14,Costa Rica,New Zealand,0,0,Friendly,False
2019-02-15,Netherlands,Ecuador,1,0,Friendly,True
2019-02-16,Croatia,Serbia,3,4,Friendly,False
2019-02-18,Denmark,South Korea,3,0,Friendly,True
2019-02-19,Ecuador,Serbia,1,0,Friendly,False
2019-02-20,Brazil,Mexico,1,0,Friendly,False
2019-02-21,Croatia,Switzerland,2,1,Friendly,False
2019-02-22,Belgium,Netherlands,3,2,Friendly,True
2019-02-24,Canada,Japan,1,3,Friendly,False
2019-02-25,Denmark,Brazil,0,1,Friendly,False
2019-02-26,Ecuador,Italy,0,0,Friendly,True
2019-02-27,Senegal,Japan,1,3,Friendly,True
2019-03-01,Ghana,Uruguay,0,3,Friendly,False
2019-03-02,Serbia,Ecuador,0,0,Friendly,False
2019-03-03,Japan,Panama,3,1,Friendly,True
2019-03-04,Belgium,Spain,5,3,Friendly,True
2019-03-06,Croatia,USA,1,2,Friendly,False
2019-03-07,Mexico,Ecuador,1,0,Friendly,False
2019-03-08,Morocco,Australia,2,3,Friendly,False
2019-03-09,Saudi Arabia,Portugal,2,3,Friendly,False
2019-03-10,Poland,Qatar,2,3,Friendly,False
2019-03-12,Senegal,Australia,2,1,Friendly,False
2019-03-13,England,Japan,4,1,Friendly,False
2019-03-14,Canada,Poland,1,5,Friendly,False
2019-03-15,Netherlands,Serbia,3,1,Friendly,True
2019-03-17,Australia,Switzerland,0,0,Friendly,False
2019-03-18,Japan,Switzerland,1,0,Friendly,False
2019-03-19,Argentina,Saudi Arabia,1,1,Friendly,False
2019-03-20,Netherlands,New Zealand,1,2,Friendly,False
2019-03-22,Brazil,Colombia,1,1,Friendly,True
2019-03-23,Senegal,Saudi Arabia,3,1,Friendly,True
2019-03-24,Germany,Poland,1,1,Friendly,False
2019-03-25,Qatar,Croatia,1,5,Friendly,False
2019-03-26,Morocco,South Korea,1,2,Friendly,True
2019-03-28,Costa Rica,France,0,2,Friendly,False
2019-03-29,Germany,Poland,2,0,Friendly,False
2019-03-30,Serbia,Uruguay,1,4,Friendly,False
2019-03-31,Mexico,Ghana,4,3,Friendly,False
2019-04-02,Denmark,Spain,0,1,Friendly,False
2019-04-03,Switzerland,Canada,0,2,Friendly,True
2019-04-04,Japan,Portugal,1,2,Friendly,False
2019-04-05,South Korea,Ecuador,3,2,Friendly,False
2019-04-06,Saudi Arabia,France,2,2,Friendly,False
2019-04-08,France,Senegal,2,1,Friendly,False
2019-04-09,Senegal,Poland,1,2,Friendly,False
2019-04-10,Poland,Mexico,2,1,Friendly,False
2019-04-11,Germany,New Zealand,1,0,Friendly,True
2019-04-13,Switzerland,South Korea,2,0,Friendly,True
2019-04-14,New Zealand,Costa Rica,0,1,Friendly,True
2019-04-15,Argentina,Mexico,2,0,Friendly,True
2019-04-16,Morocco,Portugal,0,0,Friendly,False
2019-04-18,Germany,Brazil,2,2,Friendly,False
2019-04-19,Senegal,Qatar,3,2,Friendly,False
2019-04-20,New Zealand,Colombia,0,2,Friendly,False
2019-04-21,Uruguay,Switzerland,1,2,Friendly,True
2019-04-22,Portugal,Saudi Arabia,3,1,Friendly,True
2019-04-24,Senegal,South Korea,3,0,Friendly,False
2019-04-25,Costa Rica,Netherlands,0,1,Friendly,False
2019-04-26,Ecuador,Argentina,0,3,Friendly,False
2019-04-27,Poland,Spain,1,1,Friendly,False
2019-04-29,Uruguay,Brazil,2,1,Friendly,False
2019-04-30,Switzerland,Costa Rica,1,1,Friendly,False
2019-05-01,Belgium,Italy,3,3,Friendly,False
2019-05-02,Canada,England,0,0,Friendly,True
2019-05-04,Senegal,Qatar,3,1,Friendly,True
2019-05-05,France,USA,1,2,Friendly,True
2019-05-06,South Korea,Belgium,2,0,Friendly,True
2019-05-07,Poland,Canada,2,2,Friendly,False
2019-05-08,Senegal,Italy,1,2,Friendly,True
2019-05-10,Brazil,Colombia,3,0,Friendly,False
2019-05-11,Colombia,Belgium,2,0,Friendly,False
2019-05-12,Switzerland,South Korea,4,2,Friendly,False
2019-05-13,Croatia,Germany,3,1,Friendly,True
2019-05-15,Ghana,Germany,1,3,Friendly,False
2019-05-16,South Korea,Belgium,1,5,Friendly,False
2019-05-17,Denmark,Argentina,0,0,Friendly,False
2019-05-18,Senegal,Netherlands,1,1,Friendly,False
2019-05-20,Canada,Switzerland,4,0,Friendly,False
2019-05-21,Uruguay,Costa Rica,2,3,Friendly,False
2019-05-22,Switzerland,Uruguay,1,1,Friendly,True
2019-05-23,South Korea,Denmark,1,1,Friendly,False
2019-05-24,Qatar,Belgium,1,1,Friendly,False
2019-05-26,Portugal,Belgium,4,0,Friendly,True
2019-05-27,Belgium,Canada,0,1,Friendly,False
2019-05-28,Argentina,Canada,1,2,Friendly,True
2019-05-29,Australia,Spain,0,2,Friendly,True
2019-05-31,Colombia,Ghana,0,0,Friendly,False
2019-06-01,New Zealand,Poland,1,3,Friendly,False
2019-06-02,Spain,Italy,5,0,Friendly,True
2019-06-03,England,Saudi Arabia,3,0,Friendly,True
2019-06-04,Argentina,Croatia,2,0,Friendly,True
2019-06-06,Italy,Germany,2,1,Friendly,False
2019-06-07,Senegal,Argentina,5,0,Friendly,False
2019-06-08,Spain,Netherlands,3,0,Friendly,True
2019-06-09,England,Saudi Arabia,0,0,Friendly,False
2019-06-11,Spain,Uruguay,2,2,Friendly,False
2019-06-12,Belgium,Italy,1,1,Friendly,False
2019-06-13,Portugal,USA,1,0,Friendly,False
2019-06-14,Brazil,Ecuador,2,1,Friendly,False
2019-06-16,Belgium,Serbia,3,0,Friendly,False
2019-06-17,Saudi Arabia,Belgium,0,1,Friendly,True
2019-06-18,Spain,Argentina,1,0,Friendly,True
2019-06-19,USA,Ecuador,1,3,Friendly,False
2019-06-20,Switzerland,Australia,2,1,Friendly,False
2019-06-22,France,Serbia,2,1,Friendly,True
2019-06-23,Morocco,Brazil,2,3,Friendly,False
2019-06-24,Brazil,Uruguay,1,2,Friendly,False
2019-06-25,France,Costa Rica,3,1,Friendly,False
2019-06-27,USA,Argentina,0,0,Friendly,False
2019-06-28,Italy,Poland,4,2,Friendly,False
2019-06-29,Argentina,Spain,0,0,Friendly,False
2019-06-30,Croatia,Morocco,2,1,Friendly,False
2019-07-02,Croatia,Uruguay,2,2,Friendly,True
2019-07-03,Saudi Arabia,France,0,3,Friendly,True
2019-07-04,England,Senegal,1,1,Friendly,False
2019-07-05,England,Uruguay,1,2,Friendly,False
2019-07-06,Uruguay,Saudi Arabia,2,1,Friendly,True
2019-07-08,Qatar,Italy,2,4,Friendly,False
2019-07-09,Costa Rica,Belgium,1,2,Friendly,False
2019-07-10,England,Australia,0,2,Friendly,False
2019-07-11,Ecuador,France,1,1,Friendly,False
2019-07-13,Poland,Ecuador,0,1,Friendly,False
2019-07-14,Brazil,Morocco,0,2,Friendly,False
2019-07-15,Ecuador,Belgium,1,4,Friendly,True
2019-07-16,Colombia,Costa Rica,0,1,Friendly,True
2019-07-18,Uruguay,Morocco,1,0,Friendly,False
2019-07-19,Costa Rica,Argentina,0,4,Friendly,False
2019-07-20,Serbia,Switzerland,4,3,Friendly,True
2019-07-21,Colombia,Argentina,2,2,Friendly,False
2019-07-22,USA,Japan,3,3,Friendly,False
2019-07-24,Switzerland,Spain,3,1,Friendly,False
2019-07-25,Italy,Senegal,1,3,Friendly,False
2019-07-26,Argentina,Morocco,1,2,Friendly,False
2019-07-27,USA,Canada,6,1,Friendly,False
2019-07-29,Serbia,Spain,2,2,Friendly,False
2019-07-30,Ecuador,England,1,0,Friendly,False
2019-07-31,Argentina,Brazil,2,1,Friendly,True
2019-08-01,Italy,Netherlands,1,1,Friendly,False
2019-08-02,Morocco,Saudi Arabia,0,2,Friendly,False
2019-08-04,Croatia,Belgium,4,3,Friendly,False
2019-08-05,Mexico,Italy,3,1,Friendly,False
2019-08-06,Netherlands,Italy,2,1,Friendly,False
2019-08-07,Morocco,France,2,2,Friendly,False
2019-08-09,Poland,Canada,2,0,Friendly,False
2019-08-10,Italy,USA,3,0,Friendly,False
2019-08-11,Argentina,Mexico,0,0,Friendly,False
2019-08-12,Netherlands,Germany,1,1,Friendly,True
2019-08-14,Argentina,Costa Rica,2,2,Friendly,False
2019-08-15,Canada,Senegal,3,1,Friendly,False
2019-08-16,Germany,England,2,1,Friendly,False
2019-08-17,New Zealand,Belgium,0,0,Friendly,False
2019-08-18,England,Ghana,2,0,Friendly,True
2019-08-20,Portugal,Morocco,1,0,Friendly,False
2019-08-21,Canada,Uruguay,2,1,Friendly,True
2019-08-22,Spain,USA,2,0,Friendly,False
2019-08-23,Colombia,Qatar,2,2,Friendly,False
2019-08-25,Switzerland,New Zealand,0,1,Friendly,False
2019-08-26,Qatar,Morocco,0,3,Friendly,True
2019-08-27,Ecuador,USA,0,2,Friendly,False
2019-08-28,Belgium,Italy,2,2,Friendly,True
2019-08-30,Spain,France,4,7,Friendly,False
2019-08-31,Portugal,South Korea,4,4,Friendly,False
2019-09-01,USA,Ecuador,1,2,Friendly,True
2019-09-02,Germany,South Korea,1,1,Friendly,False
2019-09-03,Portugal,Saudi Arabia,1,1,Friendly,False
2019-09-05,Brazil,Poland,1,1,Friendly,False
2019-09-06,Japan,Brazil,0,1,Friendly,False
2019-09-07,Morocco,Serbia,7,1,Friendly,False
2019-09-08,USA,Serbia,0,2,Friendly,False
